%1. Title: Bundesliga Spielprognose
	@RELATION spiel

%Letzte drei Spiele
	@ATTRIBUTE tore NUMERIC
	@ATTRIBUTE gegentore NUMERIC
%Letzte fuenf Spiele
	@ATTRIBUTE niederlagen NUMERIC
	@ATTRIBUTE steigung NUMERIC
	@ATTRIBUTE heimvorteil {heim,gast}
	@ATTRIBUTE tag {montag,dienstag,mittwoch,donnerstag,freitag,samstag,sonntag}
	@ATTRIBUTE ausgang {sieg,niederlage,unentschieden}

	@DATA
	2,1,1,2,heim,sonntag,niederlage
	4,1,2,1,heim,samstag,niederlage
	4,4,0,2,gast,samstag,sieg
	4,3,1,3,gast,samstag,sieg
	4,1,2,1,heim,samstag,niederlage
	2,3,1,0,heim,samstag,niederlage
	3,7,0,0,gast,samstag,sieg
	2,5,0,1,gast,samstag,unentschieden
	7,3,1,5,heim,samstag,unentschieden
	5,3,2,2,heim,samstag,niederlage
	4,2,1,4,gast,samstag,sieg
	1,7,0,0,gast,sonntag,niederlage
	1,3,0,1,heim,sonntag,sieg
	0,5,0,0,heim,sonntag,niederlage
	2,4,0,0,gast,sonntag,sieg
	4,8,0,1,gast,samstag,sieg
	8,3,1,2,heim,samstag,niederlage
	2,2,1,2,gast,freitag,niederlage
	2,1,1,1,heim,freitag,sieg
	1,3,0,1,heim,freitag,niederlage
	3,2,1,1,gast,freitag,sieg
	2,3,0,1,gast,freitag,niederlage
	2,2,0,1,heim,freitag,sieg
	1,1,1,0,heim,freitag,niederlage
	1,1,0,1,gast,freitag,sieg
	4,1,2,3,gast,montag,sieg
	4,0,2,2,heim,montag,niederlage
	6,1,2,2,heim,freitag,niederlage
	2,0,2,1,gast,freitag,sieg
	5,3,2,1,heim,samstag,niederlage
	3,2,2,0,gast,samstag,sieg
	2,3,0,2,gast,samstag,sieg
	3,3,0,1,heim,samstag,niederlage
	4,3,2,2,heim,sonntag,niederlage
	2,7,0,0,gast,sonntag,sieg
	1,2,1,1,gast,sonntag,sieg
	6,3,1,2,heim,sonntag,niederlage
	2,3,1,1,gast,sonntag,niederlage
	3,5,0,1,heim,sonntag,sieg
	5,2,2,2,heim,samstag,niederlage
	5,3,2,4,gast,samstag,sieg
	1,6,0,0,gast,samstag,niederlage
	3,4,0,1,heim,samstag,sieg
	7,3,2,3,heim,samstag,unentschieden
	1,7,0,1,gast,samstag,unentschieden
	8,5,1,3,gast,samstag,unentschieden
	8,2,3,2,heim,samstag,unentschieden
	1,6,0,1,gast,samstag,sieg
	6,2,1,1,heim,samstag,niederlage
	5,2,2,3,gast,samstag,niederlage
	6,0,3,2,heim,samstag,sieg
	1,3,0,0,gast,samstag,niederlage
	3,5,0,2,heim,samstag,sieg
	4,2,2,2,gast,sonntag,unentschieden
	5,3,2,2,heim,sonntag,unentschieden
	6,7,1,2,heim,samstag,niederlage
	2,1,2,0,gast,samstag,sieg
	4,4,2,2,heim,samstag,niederlage
	7,3,3,2,gast,samstag,sieg
	4,4,1,0,heim,samstag,niederlage
	9,3,2,1,gast,samstag,sieg
	4,6,0,0,heim,samstag,sieg
	2,6,1,2,gast,samstag,niederlage
	4,9,0,0,heim,samstag,niederlage
	1,5,0,0,gast,samstag,sieg
	10,6,1,3,gast,sonntag,sieg
	3,6,0,1,heim,sonntag,niederlage
	3,7,1,2,heim,sonntag,sieg
	7,1,3,1,gast,sonntag,niederlage
	6,1,3,2,gast,dienstag,unentschieden
	5,8,0,3,heim,dienstag,unentschieden
	8,3,3,4,gast,samstag,sieg
	4,9,0,1,heim,samstag,niederlage
	3,0,2,2,heim,freitag,sieg
	6,1,3,2,gast,freitag,niederlage
	1,6,0,1,gast,freitag,unentschieden
	2,3,1,1,heim,freitag,unentschieden
	1,6,0,1,gast,freitag,unentschieden
	1,4,0,0,heim,freitag,unentschieden
	4,7,1,2,gast,freitag,sieg
	2,5,0,1,heim,freitag,niederlage
	5,4,1,3,heim,montag,niederlage
	3,3,1,1,gast,montag,sieg
	3,3,1,0,heim,freitag,unentschieden
	1,1,1,0,gast,freitag,unentschieden
	4,2,1,2,gast,samstag,unentschieden
	6,2,4,2,heim,samstag,unentschieden
	2,7,1,1,heim,samstag,niederlage
	6,4,3,2,gast,samstag,sieg
	3,4,1,2,gast,sonntag,sieg
	3,5,1,1,heim,sonntag,niederlage
	5,2,2,3,heim,sonntag,unentschieden
	6,3,2,2,gast,sonntag,unentschieden
	4,8,0,3,heim,sonntag,niederlage
	5,2,3,1,gast,sonntag,sieg
	6,6,1,1,heim,samstag,sieg
	7,2,2,1,gast,samstag,niederlage
	2,5,0,1,heim,samstag,sieg
	7,2,3,1,gast,samstag,niederlage
	7,4,2,1,gast,samstag,sieg
	5,4,2,1,heim,samstag,niederlage
	6,9,0,3,gast,samstag,niederlage
	4,7,2,0,heim,samstag,sieg
	8,2,3,4,gast,samstag,sieg
	5,5,1,4,heim,samstag,niederlage
	5,9,0,2,gast,samstag,niederlage
	7,3,3,2,heim,samstag,sieg
	3,7,1,0,heim,samstag,unentschieden
	4,2,3,1,gast,samstag,unentschieden
	2,5,0,1,gast,samstag,sieg
	1,6,0,0,heim,samstag,niederlage
	5,2,2,1,heim,samstag,unentschieden
	6,6,1,5,gast,samstag,unentschieden
	4,4,1,2,gast,sonntag,niederlage
	2,6,0,1,heim,sonntag,sieg
	6,5,3,4,gast,samstag,sieg
	4,1,3,1,heim,samstag,niederlage
	6,2,2,2,gast,samstag,sieg
	5,4,3,0,heim,samstag,niederlage
	3,3,1,1,gast,samstag,niederlage
	2,5,2,1,heim,samstag,sieg
	5,5,3,1,heim,samstag,sieg
	3,6,1,2,gast,samstag,niederlage
	5,6,0,1,gast,samstag,sieg
	3,2,2,1,heim,samstag,niederlage
	10,10,1,2,heim,sonntag,niederlage
	9,5,2,4,gast,sonntag,sieg
	1,8,0,0,heim,sonntag,unentschieden
	2,5,0,0,gast,sonntag,unentschieden
	5,6,1,4,gast,samstag,sieg
	5,2,4,2,heim,samstag,niederlage
	2,5,0,0,heim,freitag,unentschieden
	3,2,2,1,gast,freitag,unentschieden
	5,4,1,3,gast,freitag,sieg
	1,6,0,0,heim,freitag,niederlage
	2,3,2,1,heim,freitag,niederlage
	11,3,2,5,gast,freitag,sieg
	2,7,0,0,gast,montag,sieg
	2,3,1,2,heim,montag,niederlage
	7,5,1,6,gast,freitag,niederlage
	3,4,2,0,heim,freitag,sieg
	6,3,2,0,heim,samstag,niederlage
	4,4,2,1,gast,samstag,sieg
	5,4,1,1,gast,samstag,sieg
	2,4,1,-2,heim,samstag,niederlage
	3,4,3,0,gast,sonntag,sieg
	3,1,1,-1,heim,sonntag,niederlage
	2,8,0,0,heim,sonntag,unentschieden
	3,5,1,2,gast,sonntag,unentschieden
	6,5,2,4,gast,sonntag,unentschieden
	4,3,2,0,heim,sonntag,unentschieden
	6,1,3,-1,heim,samstag,niederlage
	5,3,3,0,gast,samstag,sieg
	5,4,2,1,gast,samstag,sieg
	6,8,1,2,heim,samstag,niederlage
	5,8,2,0,gast,samstag,sieg
	6,6,1,1,heim,samstag,niederlage
	4,3,2,1,gast,samstag,niederlage
